Num_encl_excl;annee;perte_biomasse
1;2020;14,70
1;2021;55,15
1;2025;3,63
2;2023;46,47
2;2024;27,57
3;2020;6,58
3;2021;27,34
3;2023;43,54
3;2024;49,96
3;2025;47,53
4;2020;18,20
4;2021;19,26
4;2022;67,56
4;2023;5,33
4;2024;44,34
4;2025;46,05
5;2023;52,09
5;2024;27,33
5;2025;36,05
6;2020;29,05
6;2021;2,70
6;2022;-7,74
6;2023;-23,81
7;2020;48,33
7;2021;41,18
7;2022;-59,73
7;2023;32,23
7;2024;44,25
7;2025;12,29
8;2020;9,19
8;2021;11,86
8;2022;40,74
8;2023;22,14
8;2024;14,93
8;2025;24,27
9;2023;8,94
9;2024;-2,88
9;2025;15,48
10;2023;1,10
10;2024;33,27
10;2025;31,64
11;2020;56,63
11;2021;65,46
11;2022;70,06
11;2023;53,66
11;2024;42,95
11;2025;58,48
12;2023;53,67
13;2020;32,44
13;2021;64,14
13;2022;50,42
13;2023;48,54
13;2024;29,44
13;2025;27,04
14;2020;11,28
14;2021;40,74
14;2022;4,25
14;2023;1,04
14;2024;-11,97
15;2020;15,06
15;2021;16,24
15;2022;29,55
15;2023;17,89
15;2024;-11,81
15;2025;21,56
16;2021;19,89
16;2022;1,81
16;2023;32,10
16;2024;42,28
16;2025;-14,99
17;2023;-9,25
17;2024;18,80
18;2020;63,73
18;2021;79,97
18;2022;53,29
18;2024;70,13
18;2025;46,94
19;2020;52,83
19;2021;31,38
19;2022;43,74
19;2023;-21,83
19;2024;34,05
19;2025;15,40
20;2020;2,13
20;2021;43,84
20;2022;59,35
20;2023;-3,93
20;2024;48,40
20;2025;14,27
21;2020;-1,45
21;2021;31,76
21;2022;28,45
21;2023;38,64
21;2024;24,67
21;2025;16,80
22;2020;4,84
22;2021;44,92
22;2022;-8,80
22;2023;5,73
22;2024;46,21
22;2025;33,70
23;2020;19,14
23;2021;14,94
23;2022;33,84
23;2023;27,54
23;2024;34,85
23;2025;46,48
24;2020;13,68
24;2021;20,39
24;2022;56,32
24;2023;33,73
24;2025;8,65
25;2020;36,75
25;2021;48,03
25;2022;35,22
25;2023;52,09
25;2024;46,54
25;2025;14,42
26;2020;25,47
26;2021;47,19
26;2022;55,65
26;2023;30,55
26;2024;50,38
27;2021;17,38
27;2022;25,11
27;2023;14,40
28;2020;0,00
28;2022;19,52
28;2023;14,63
28;2024;4,33
28;2025;32,33
29;2023;11,34
29;2024;35,84
29;2025;33,66
30;2020;3,92
30;2021;-35,62
30;2022;-6,17
30;2023;25,87
30;2024;3,60
31;2024;-40,50
31;2025;3,14
32;2020;56,40
32;2021;18,59
32;2022;38,01
32;2023;20,52
33;2020;11,39
33;2021;41,56
33;2022;16,43
33;2023;2,16
33;2024;30,18
33;2025;3,03
34;2020;47,50
34;2022;22,23
34;2023;30,54
34;2024;14,82
34;2025;35,56
35;2020;21,11
35;2021;26,63
35;2022;51,21
35;2023;0,09
35;2024;50,52
35;2025;-18,57
36;2023;48,73
36;2024;11,24
36;2025;5,85
37;2020;16,60
37;2021;14,84
37;2022;34,20
38;2020;27,59
38;2021;14,94
38;2022;63,31
39;2020;34,76
40;2020;-14,18
40;2021;22,06
40;2022;-0,77
1bis;2022;24,20
1bis;2023;47,18
1bis;2024;45,72
